3.2.3.3.1	NPAC SMS shall allow NPAC personnel to create a new LNP NPA NXX for a Service Provider.
6.8.53.1	NPAC SMS shall send queued up messages to the SOA, via the SOA to NPAC SMS Interface, when a Service Provider has sent a message to the NPAC SMS that resynchronization has been completed.  (Previously N-440)
6.8.54.1	NPAC SMS shall apply NPA-NXX Filters to NPA-NXX-X resynchronization to the SOA(s) via the SOA to NPAC SMS Interface.  (Previously N-450)
6.9.55.1	NPAC SMS shall provide a mechanism that allows an LSMS to recover subscription data downloads that were missed during a broadcast to the LSMS.
6.9.56.1	NPAC SMS shall recover subscription data download broadcasts in time sequence order when subscription data recovery is requested by the LSMS.
6.9.57.1	NPAC SMS shall use the Maximum Download Duration Tunable to limit the time range requested in a subscription data recovery request.
6.9.58.1	NPAC SMS shall require an LSMS to specify one of the following choices in a subscription data recovery request: •	time-range •	TN •	TN-range (NPA-NXX-XXXX) – (YYYY)
6.9.59.1	NPAC SMS shall exclude Subscription Versions with a status of failed, when subscription data recovery is requested by the LSMS.
6.9.60.1	NPAC SMS shall use the Subscription Version’s Broadcast Timestamp value to determine if an SV falls within the requested time range for a subscription data recovery request.
6.9.61.1	NPAC SMS shall remove a Service Provider from the Failed SP List of an SV, upon successful recovery of the subscription data.
6.9.62.1	NPAC SMS shall send, to the Old and New Service Providers, the status and a list of all Local SMSs that currently exist on the Failed SP List of an SV, upon successful recovery of the subscription data, with the exception of modify active or disconnect requests.
6.9.63.1	NPAC SMS shall send, to the New Service Provider only, the status and a list of all Local SMSs that currently exist on the Failed SP List of an SV, upon successful recovery of the subscription data, specific to modify active or disconnect requests.
6.9.64.1	NPAC SMS shall process a Service Provider request to download Block data over the NPAC SMS to Local SMS Interface, when a Service Provider establishes an association with the resynchronization flag set to TRUE, and requests Block data based on criteria sent to the NPAC SMS upon association.  (Previously B-690)
6.9.65.1	NPAC SMS shall accept criteria for Block data, of either Time Range in GMT or Block Range entry fields, where the Time Range in GMT includes the starting time in GMT and ending time in GMT based on the Activation Start Timestamp/Disconnect Broadcast Timestamp/Modify Broadcast Timestamp, and the Block Range includes the starting Block and ending Block.  (Previously B-691)
6.9.66.1	NPAC SMS shall use the existing Subscription Version tunables for Maximum Download Duration and Maximum Number of Download Records, as defined in the Functional Requirements Specification’ s Appendix C, for Blocks that can be resynchronized by a Local SMS.  (Previously B-695)
6.9.67.1	NPAC SMS shall reject a resynchronization request, if the criteria of either Time Range or Block Range, exceeds the current values of the Maximum Download Duration or Maximum Number of Download Records tunables.  (Previously B-698)
6.9.68.1	NPAC SMS shall queue up a single instance of all messages to the Local SMS, via the NPAC SMS to Local SMS Interface, when a Service Provider establishes an association with the NPAC SMS and where the resynchronization flag is set to TRUE.  (Previously B-700)
6.9.69.1	NPAC SMS shall send, queued up messages to the Local SMS, via the NPAC SMS to Local SMS Interface, when a Service Provider has sent a message to the NPAC SMS that resynchronization has been completed.  (Previously B-710)
6.9.70.1	NPAC SMS shall apply NPA-NXX Filters to Block resynchronization to the Local SMS(s), via the NPAC SMS to Local SMS Interface.  (Previously B-720)
6.9.71.1	NPAC SMS shall update the Block Failed SP List and Subscription Version Failed SP List, by removing the resyncing Local SMS, upon a successful response to a resynchronization request to a previously failed EDR Local SMS, as defined in RR3-138.1 and RR3-138.2.  (Previously B-730)
6.9.72.1	NPAC SMS shall update the status of the Block, specified in the resynchronization request for a Block Creation, Modification, or Deletion, at the completion of the resynchronization to the Local SMS, as defined in RR3-137.1, RR3-137.2, RR3-137.3, and RR3-137.4.  (Previously B-740)
6.9.73.1	NPAC SMS shall filter out Subscription Versions with LNP Type of POOL for Resynchronization of Subscription Version data, when the resyncing Service Provider has an EDR Indicator set to TRUE.  (Previously SV-522)
6.9.74.1	NPAC SMS shall examine a Service Provider's EDR Indicator, at the time of resync, to determine the message to resync, for a disconnect or a Port-To-Original Subscription Version of a ported pooled TN, where the TN is contained within a Pooled 1K Block.  (Previously SV-530)
6.9.75.1	NPAC SMS shall, for a resync of a disconnect Subscription Version of a ported pooled TN, where the TN is contained within a Pooled 1K Block, allow the EDR Local SMS to recover the Delete request of the Subscription Version that was active prior to the disconnect broadcast, regardless of it’s status, to an EDR Local SMS.  (Previously SV-540)
6.9.76.1	NPAC SMS shall, for a resync of a disconnect Subscription Version of a ported pooled TN, where the TN is contained within a Pooled 1K Block, allow the non-EDR Local SMS to recover the Create request of the Subscription Version that was created to restore default routing, regardless of it’s status, and regardless of the status of the Subscription Version that was active prior to the disconnect broadcast, to a non-EDR Local SMS.  (Previously SV-550)
6.9.77.1	NPAC SMS shall, for a resync of a Port-To-Original Subscription Version of a ported pooled TN, where the TN is contained within a Pooled 1K Block, allow the EDR Local SMS to recover the Delete request of the Subscription Version that was active prior to the Port-To-Original broadcast, regardless of it’s status, and regardless of the status of the Subscription Version that is used to generate the Port-To-Original request to the NPAC SMS, to an EDR Local SMS.  (Previously SV-560)
6.9.78.1	NPAC SMS shall, for a resync of a Port-To-Original Subscription Version of a ported pooled TN, where the TN is contained within a Pooled 1K Block, allow the non-EDR Local SMS to recover the Create request of the Subscription Version that was created to restore default routing, and shall NOT allow the non-EDR Local SMS to recover the Delete request of the Subscription Version that was active prior to the Port-To-Original broadcast, regardless of it’s status, regardless of the status of the Subscription Version that is used to generate the Port-To-Original request to the NPAC SMS, and regardless of the status of the Subscription Version that was created to restore default routing, to a non-EDR Local SMS.  (Previously SV-570)
7.2.l.1	NPAC SMS shall require unique user identification codes (userids) to identify all NPAC and Service Provider personnel.
7.2.2.1	NPAC SMS shall require NPAC and Service Provider personnel to identify themselves with their assigned userId before performing any actions.
7.2.3.1	NPAC SMS shall maintain internally the identity of all NPAC and Service Provider personnel logged on to the NPAC SMS.
7.2.4.1	NPAC SMS shall have for every process running an associated userId of the invoking user (or the userId associated with the invoking process).
7.2.5.1.1	NPAC SMS shall disable userids after a period of time during which the userId has not been used.
7.2.5.2.1	NPAC SMS shall provide an Unused Userid Disable Period tunable parameter which is defined as the number of days for which the userId has not been used.
7.2.5.3.1	NPAC SMS shall allow the NPAC SMS administrator to modify the Unused Userid Disable Period tunable parameter time period.
7.2.5.4.1	NPAC SMS shall default the Unused Userid Disable Period tunable parameter to 60 days.
7.2.6.1.1	NPAC SMS shall provide a complementary mechanism or procedure for the re instatement disabled userids.
7.2.6.2.1	NPAC SMS shall provide a procedure for the deletion of userids.
7.2.7.1	NPAC SMS shall support the temporary disabling of userids.
7.2.8.1	NPAC SMS shall provide an option for automatic reactivation of disabled userids.
7.2.9.1.1	NPAC SMS shall control and limit simultaneous active usage of the same userids by allowing only one active login.
7.2.9.2.1	NPAC SMS shall present the NPAC or Service Provider personnel with an option of disconnecting the first login and continuing the second login or terminating the second login, when a second login is entered.
7.3.10.1	NPAC SMS shall authenticate the identity of all NPAC and Service Provider users of the NPAC Administrative and NPAC SOA Low-tech Interfaces prior to their initially gaining access to NPAC SMS.
7.3.12.1	NPAC SMS shall protect all internal storage of authentication data so that it can only be accessed by an NPAC Security Administrator user.
7.3.1.13.1	NPAC SMS shall require a single password entry for each userId.
7.3.1.14.1	NPAC SMS shall allow a user to define a password that is already associated with another userId.
7.3.1.15.1	NPAC SMS shall store passwords in a one way encrypted form.
7.3.1.16.1	NPAC SMS shall only allow access to encrypted passwords by authorized users.
7.3.1.18.1	NPAC SMS shall automatically suppress or fully blot out the clear text representation of the password on the data entry device.
7.3.1.19.1	NPAC SMS shall ensure that passwords sent over public or external shared data networks are encrypted.
7.3.1.20.1	NPAC SMS shall require non-null passwords.
7.3.1.21.1	NPAC SMS shall provide a mechanism to allow passwords to be user changeable. This mechanism shall require re authentication of the user identity.
7.3.1.22.1	The NPAC SMS shall have a mechanism to reset passwords.
7.3.1.23.1.1	NPAC SMS shall enforce password aging.
7.3.1.23.2.1	NPAC SMS shall default the system password aging to 90 days.
7.3.1.24.1.1	NPAC SMS shall notify users a NPAC specifiable period of time prior to their password expiring. The system supplied default shall be seven days.
7.3.1.24.2.1	NPAC SMS shall default the password expiration notification time period to seven days
7.3.1.24.3.1	NPAC SMS shall require any user whose password has expired to enter a new password before allowing that user access to the system.
7.3.1.25.1.1	NPAC SMS shall ensure that a password can not be reused by the same individual for specifiable period of time.
7.3.1.25.2.1	NPAC SMS shall default the time period in which a password can not be reused to six months.
7.3.1.26.1.1	Passwords shall contain a combination of at least six case-sensitive alphanumeric characters including at least one alphabetic and one numeric or punctuation character.
7.3.1.26.2.1	NPAC SMS shall ensure that passwords do not contain the associated userId.
7.3.1.27.1.1	NPAC SMS shall provide a password generator.
7.3.1.27.2.1	NPAC SMS shall ensure that generated passwords are "reasonably" resistant to brute force password guessing attacks.
7.3.1.27.3.1	NPAC SMS shall ensure that the generated sequence of passwords have the property of randomness.
7.4.1.28.1.1	NPAC SMS shall allow access to authorized individual users.
7.4.1.28.2.1	NPAC SMS shall allow access to authorized remote systems.
7.4.1.29.1.1	NPAC SMS shall provide a facility for the initial entry of authorized user and associated authentication information.
7.4.1.29.2.1	NPAC SMS shall provide a facility for the modification of authorized user and associated authentication information.
7.4.1.31.1	NPAC SMS's login procedure shall be able to be reliably initiated by the user, i.e., a trusted communications path should exist between NPAC SMS and the user during the login procedure.
7.4.1.32.1.1	NPAC SMS shall disconnect end users after a period of non use.
7.4.1.32.2.1	NPAC SMS shall default the Non-use Disconnect tunable parameter to 60 minutes.
7.4.1.33.1.1	NPAC SMS shall exit and end the session if the user authentication procedure is incorrectly performed a specifiable number of times.
7.4.1.33.2.1	NPAC SMS shall default the number of allowable incorrect login attempts to 3.
7.4.1.34.1	NPAC SMS shall provide a mechanism to immediately notify the NPAC SMS system administrator when the threshold in R7-33.1 is exceeded.
7.4.1.35.1.1	NPAC SMS shall restart the login process when the threshold in R7-33.1 has been exceeded and a specified interval of time has passed.
7.4.1.35.2.1	NPAC SMS shall default the time interval to restart the login process to 60 seconds.
7.4.1.36.1	NPAC SMS shall not suspend the userId upon exceeding the threshold in R7-33.1.
7.4.1.37.1	NPAC SMS shall perform the entire user authentication procedure even if the userId that was entered was not valid.
7.4.1.38.1	NPAC SMS shall only provide error feedback of "invalid".
7.4.1.39.1	NPAC SMS shall provide a mechanism to restrict user login based on time-of-day, day of week, and calendar date.
7.4.1.40.1.1	NPAC SMS shall provide a mechanism to restrict user login based on method of entry.
7.4.1.40.2.1	NPAC SMS shall provide a mechanism to restrict user login based on user system location.
7.4.1.41.1	NPAC SMS shall provide a mechanism to limit the users authorized to access the system via dial up facilities.
7.4.1.42.1.1	NPAC SMS shall provide a mechanism to limit system entry for privileged NPAC SMS users on a specifiable network access.
7.4.1.42.2.1	NPAC SMS shall provide a mechanism to limit system entry for privileged NPAC SMS users on a specifiable per port basis.
7.4.1.43.1.1	NPAC SMS shall provide a strong authentication mechanism for network access.
7.4.1.43.2.1	NPAC SMS shall use authentication of public encryption keys for users accessing the NPAC SMS over the Internet.
7.4.1.43.3.1	NPAC SMS shall use smart cards to authenticate users accessing the NPAC SMS via dial-up.
7.4.1.44.1	NPAC SMS shall provide a mechanism to end the session through secure logoff procedures.
7.4.1.46.1	NPAC SMS shall ensure that the message is NPAC SMS specifiable to meet their own requirements, and any applicable laws.
7.4.1.47.1.1	NPAC SMS shall be able to display an advisory warning message of up to 20 lines in length prior to login.
7.4.1.47.2.1	NPAC SMS shall default the pre-login advisory warning message to the following:
7.4.1.48.1.1	NPAC SMS shall display the date and time of the user's last successful system access upon successful login.
7.4.1.48.2.1	NPAC SMS shall display the number of unsuccessful attempts by that userId to access the system, since the last successful access by that userId upon successful login.
7.4.1.49.1.1	NPAC SMS shall only allow the NPAC Security Administrator to authorize users.
7.4.1.49.2.1	NPAC SMS shall only allow the NPAC Security Administrator to revoke users.
7.4.1.50.1.1	NPAC SMS shall provide security documentation that defines and describes procedures for adding users.
7.4.1.50.2.1	NPAC SMS shall provide security documentation that defines and describes procedures for deleting users.
7.4.2.51.1	NPAC SMS shall allow only authorized users to access the data that is part of or controlled by the SMS system.
7.4.2.52.1	NPAC SMS shall protect service provider data from access by unauthorized users.
7.4.2.53.1.1	NPAC SMS shall ensure that only NPAC system administrators can access the software files that constitute the NPAC SMS.
7.4.2.53.2.1	NPAC SMS shall ensure that only authorized users can access the transactions that constitute the NPAC SMS.
7.4.2.53.3.1	NPAC SMS shall ensure that only authorized NPAC Administrative and NPAC SOA Low-tech Interfaces users can access the data generated by the transactions that constitutes the SMS.
7.4.2.54.1.1	NPAC SMS shall ensure that the executable and loadable software is access controlled for overwrite and update, as well as execution rights.
7.4.2.55.1	NPAC SMS shall ensure that control of access to resources is based on authenticated user identification.
7.4.2.56.1	NPAC SMS shall ensure that userId and password is used as a primary access control for direct login and system ID is used for primary access control to the SOA to NPAC SMS interface and the NPAC SMS to Local SMS interface.
7.4.2.57.1	NPAC SMS shall ensure that for software resources controlled by NPAC SMS, it must be possible to grant access rights to a single user or a group of users.
7.4.2.58.1	NPAC SMS shall ensure that for software resources controlled by NPAC SMS, it must be possible to deny access rights to a single user or a group of users.
7.4.2.60.1	NPAC SMS shall allow only NPAC personnel to modify access rights to a resource.
7.4.2.61.1	NPAC SMS shall provide a mechanism to remove access rights to all software resources for a user or a group of users.
7.5.63.1	NPAC SMS shall identify the originator of any accessible system resources.
7.5.64.1	NPAC SMS shall be able to identify the originator of any information received across communication channels.
7.5.65.1.1	NPAC SMS NMS shall use SNMP to monitor the system resources.
7.5.65.2.1	NPAC SMS NMS shall use SNMP to detect error conditions.
7.5.65.3.1	NPAC SMS NMS shall use SNMP to detect communication errors.
7.5.65.4.1	NPAC SMS NMS shall use SNMP to detect link outages.
7.5.66.1.1	NPAC SMS shall ensure proper rule checking on data update.
7.5.66.2.1	NPAC SMS shall handle duplicate/multiple inputs.
7.5.66.3.1	NPAC SMS shall check return status.
7.5.66.4.1	NPAC SMS shall validate inputs for reasonable values.
7.5.66.5.1	NPAC SMS shall ensure proper serialization of update transactions.
7.5.67.1	NPAC SMS shall include database integrity checking utilities for the NPAC SMS database.
7.6.1.68.1.1	NPAC SMS shall generate a security audit log that contains information sufficient for after the fact investigation of loss or impropriety for appropriate response, including pursuit of legal remedies.
7.6.1.68.2.1	NPAC SMS shall ensure that the security audit data is available on line for a minimum of 90 days.
7.6.1.68.3.1	NPAC SMS shall archive the security audit data off line for a minimum of two years.
7.6.1.69.1	NPAC SMS shall ensure that the user identification associated with any NPAC SMS request or activity is maintained, so that the initiating user can be traceable.
7.6.1.70.1	NPAC SMS shall protect the security audit log from unauthorized access.
7.6.1.71.2.1	NPAC SMS shall ensure that only authorized NPAC personnel can archive and delete any or all of the security audit log(s) as part of the archival process.
7.6.1.72.1	NPAC SMS shall ensure that the security audit control mechanisms are protected from unauthorized access.
7.6.1.73.1.1	NPAC SMS shall write a record to the security audit log for each invalid user authentication attempt.
7.6.1.73.2.1	NPAC SMS shall write a record to the security audit log for logins of NPAC users.
7.6.1.73.3.1	NPAC SMS shall write a record to the security audit log for security-controlled activities of NPAC users.
7.6.1.73.4.1	NPAC SMS shall write a record to the security audit log for unauthorized data access attempts.
7.6.1.73.5.1	NPAC SMS shall write a record to the security audit log for unauthorized NPAC SMS transaction functionality access attempts.
7.6.1.74.1	NPAC SMS shall ensure that NPAC audit capability cannot be disabled.
7.6.1.75.1	NPAC SMS shall ensure that for each recorded event, the audit log contains the following: •	Date and time of the event •	User identification including relevant connection information •	Type of event •	Name of resources accessed or function performed •	Success or failure of the event
7.6.1.76.1.1	NPAC SMS shall record actual or attempted logins in audit logs after an NPAC tunable parameter threshold of consecutive login failures.
7.6.2.77.1.1	NPAC SMS shall provide post collection audit analysis tools that can produce exception reports on items relating to system intrusions.
7.6.2.77.2.1	NPAC SMS shall provide post collection audit analysis tools that can produce exception reports on users relating to system intrusions.
7.6.2.77.3.1	NPAC SMS shall provide post collection audit analysis tools that can produce exception reports on communication failures relating to system intrusions.
7.6.2.77.4.1	NPAC SMS shall provide post collection audit analysis tools that can produce summary reports on data items relating to system intrusions.
7.6.2.77.5.1	NPAC SMS shall provide post collection audit analysis tools that can produce summary reports on users relating to system intrusions.
7.6.2.77.6.1	NPAC SMS shall provide post collection audit analysis tools that can produce summary reports on communication failures relating to system intrusions.
7.6.2.77.7.1	NPAC SMS shall provide post collection audit analysis tools that can produce detailed reports on data items relating to system intrusions.
7.6.2.77.8.1	NPAC SMS shall provide post collection audit analysis tools that can produce detailed reports on users relating to system intrusions.
7.6.2.77.9.1	NPAC SMS shall provide post collection audit analysis tools that can produce detailed reports on communication failures relating to system intrusions.
7.6.2.78.1	NPAC SMS shall provide a capability to review a summary of the actions of any one or more users, including other NPAC users, based on individual user identity.
7.6.2.79.1.1	NPAC SMS shall provide tools for the NPAC to monitor the message passing activities to and from a specific network address as they occur.
7.6.2.80.1.1	NPAC SMS NMS shall provide a real-time mechanism to monitor the occurrence or accumulation of security auditable events. Where possible, NPAC SMS shall determine and execute the least disruptive action to terminate the event.
7.6.2.80.2.1	NPAC SMS NMS shall notify the NPAC personnel immediately when security event thresholds are exceeded through the SNMP agent.
7.7.81.1	NPAC SMS shall ensure that no service provider action, either deliberate or accidental, should cause the system to be unavailable to other users.
7.7.82.1	NPAC SMS shall report conditions that would degrade service below a pre specified minimum, including high memory, CPU, network traffic, and disk space utilization.
7.7.83.1	NPAC SMS shall provide procedures or mechanisms to allow recovery after a system failure without a security compromise.
7.7.84.1.1	NPAC SMS shall have documented procedures for software backup.
7.7.84.2.1	NPAC SMS shall have documented procedures for data backup.
7.7.84.3.1	NPAC SMS shall have documented procedures for software restoration.
7.7.84.4.1	NPAC SMS shall have documented procedures for data restoration.
7.7.85.1.1	NPAC SMS shall record the exact revision number of the latest software installed.
7.7.85.2.1	NPAC SMS shall display for viewing the exact revision number of the latest software via a Web bulletin board, and also through the NPA Administrative and NPAC SOA Low-tech Interfaces upon completion of the user login sequence.
7.8.86.1	NPAC SMS shall be developed using a corporate policy governing the development of software.
7.8.87.1	NPAC SMS shall not support any mode of entry into NPAC SMS for maintenance, support, or operations that would violate or bypass any security procedures.
7.8.88.1	NPAC SMS shall document any mode of entry into the SMS for maintenance, support, or operations.
7.9.2.89.1	SOA to NPAC SMS interface and the NPAC SMS to Local SMS interface shall support Authentication (at association setup).
7.9.2.90.1	SOA to NPAC SMS interface and the NPAC SMS to Local SMS interface shall support data origin authentication for each incoming message.
7.9.2.91.1.1	SOA to NPAC SMS interface and the NPAC SMS to Local SMS interface shall support detection of replay.
7.9.2.91.2.1	SOA to NPAC SMS interface and the NPAC SMS to Local SMS interface shall support detection of message deletion.
7.9.2.91.3.1	SOA to NPAC SMS interface and the NPAC SMS to Local SMS interface shall support detection of message modification.
7.9.2.91.4.1	SOA to NPAC SMS interface and the NPAC SMS to Local SMS interface shall support detection of message delay.
7.9.2.92.1	SOA to NPAC SMS interface and the NPAC SMS to Local SMS interface shall support non repudiation of origin.
7.9.2.93.1	SOA to NPAC SMS interface and the NPAC SMS to Local SMS interface shall allow only authorized parties (i.e., carriers serving a given customer) to cause changes in the NPAC SMS database.
7.9.3.1.94.1.1	SOA to NPAC SMS interface and the NPAC SMS to Local SMS interface shall use a public key crypto system (PKCS) to provide digital signatures. Since there is no requirement for confidentiality service there is no need for any additional encryption algorithms.
7.9.3.1.94.2.1	NPAC SMS shall support one of the digital signature algorithms listed in the OIW Stable Implementation Agreement, Part 12, 1995.
7.9.3.1.95.1	SOA to NPAC SMS interface and the NPAC SMS to Local SMS interface shall require the size of the modulus of each key to be at least 600 bits for RSA encryption.
7.9.3.2.96.1	SOA to NPAC SMS interface and the NPAC SMS to Local SMS interface shall apply the digital signature algorithm to the fields specified below without any separators between those fields or any other additional characters. •	System ID •	System type •	User ID •	Departure time •	Sequence number
7.9.3.2.97.1	SOA to NPAC SMS interface and the NPAC SMS to Local SMS interface shall provide authentication consisting of the following: •	The unique identity of the sender •	The Generalized Time, corresponding to the issuance of the message •	A sequence number •	A key identifier •	The digital signature of the sender’s identity, Generalized Time and sequence number listed above •	Key list ID
7.9.3.2.98.1	SOA to NPAC SMS interface and the NPAC SMS to Local SMS interface shall convey the authenticator in the CMIP access control field.
7.9.3.3.99.1.1	SOA to NPAC SMS interface and the NPAC SMS to Local SMS interface shall ensure that every subsequent CMIP message that contains the access control field carries the authenticator.
7.9.3.3.99.2.1	SOA to NPAC SMS interface and the NPAC SMS to Local SMS interface shall verify that each party maintains a separate sequence number counter for each association it uses to send messages.
7.9.3.3.99.3.1	SOA to NPAC SMS interface and the NPAC SMS to Local SMS interface shall verify that every time the authenticator is used the value of the sequence number will be incremented by one.
7.9.3.4.100.1.1	SOA to NPAC SMS interface and the NPAC SMS to Local SMS interface shall ensure that all the notifications defined for the number portability application contain a security field.
7.9.3.4.100.2.1	SOA to NPAC SMS interface and the NPAC SMS to Local SMS interface shall ensure that the syntax of the security field used for the notification corresponds to the authenticator.
7.9.3.4.102.1	NPAC SMS shall ensure that all the notifications are sent in the confirmed mode.
7.9.3.5.104.1	NPAC SMS shall be responsible for access control on the SOA to NPAC SMS interface and the NPAC SMS to Local SMS interface.
7.9.3.5.105.2.1	SOA to NPAC SMS interface and the NPAC SMS to Local SMS interface shall ensure that external messages received have a generalized time in the access control information within 5 minutes of the NPAC SMS system clock.
7.9.3.6.106.1	SOA to NPAC SMS interface and the NPAC SMS to Local SMS interface shall keep a log of all of the following: •	Incoming messages that result in the setup or termination of associations •	All invalid messages (invalid signature, sequence number out of order, Generalized Time out of scope, sender not authorized for the implied request) •	All incoming messages that may cause changes to the NPAC SMS database
7.9.3.7.107.1.1	NPAC SMS shall ensure that during a security key exchange, each party provide the other with a list of keys.
7.9.3.7.107.2.1	NPAC SMS shall provide the list of keys in a secure electronic form.
7.9.3.7.107.3.1	The originator of the list of keys shall also provide the receiver with signed (in ink) paper copy of the MD5 hashes of the keys in the list.
7.9.3.7.107.4.1	NPAC SMS shall support exchange of the list of keys in person or remotely.
7.9.3.7.107.5.1	NPAC SMS shall convey the lists via two different channels, diskette sent via certified mail, and a file sent via Email or FTP using encryption mechanisms if the keys are exchanged remotely.
7.9.3.7.108.1.1	NPAC SMS shall support the Service Providers’ acknowledgment via 2 secure electronic forms, Email or FTP using encryption mechanisms.
7.9.3.7.108.2.1	NPAC SMS shall support the acknowledgment consisting of the MD5 hash of each one of the keys in the list.
7.9.3.7.108.3.1	The recipient shall call the sender by phone for further confirmation and provide the sender with the MD5 hash of the whole list.
7.9.3.7.109.1.1	NPAC SMS shall generate a paper list to each Service Provider of the MD5 hashes of all the public keys used by a Service Provider once a month.
7.9.3.7.109.2.1	NPAC SMS shall verify the identity of the Service Provider to whom the MD5 hashes of the public keys was sent.
7.9.3.7.110.1.1	NPAC SMS shall provide each Service Provider with a numbered list of encryption keys, numbered from 1 to 1000.
7.9.3.7.110.3.1	NPAC SMS shall ensure unique numbering of the keys.
7.9.3.7.111.1.1	NPAC SMS shall allow a new encryption key to be chosen with every message that contains a key identifier.
7.9.3.7.111.2.1	NPAC SMS shall reject messages that use a key whose usage has stopped.
7.9.3.7.111.3.1	NPAC SMS shall allow authorized NPAC SMS personnel to initiate a new key for messages.
7.9.3.7.111.4.1	NPAC SMS shall change the key used between the NPAC SMS and Service Provider after one year of usage.
7.9.3.7.111.5.1	NPAC SMS shall allow NPAC SMS personnel to change key sizes for Service Providers as needed to ensure secure communications between the NPAC SMS and the Service Providers.
7.9.3.7.111.6.1	NPAC SMS shall expect new key initiation to be requested on a per Service Provider application basis.
7.9.3.7.111.7.1	NPAC SMS shall, upon determination that its key list has been compromised, change its own private key.
7.9.3.7.111.8.1	NPAC SMS shall only mark an SP key as invalid or used when the service provider changes keys.
7.9.3.7.1.1	NPAC SMS shall be able to load a new key list in 15 minutes or less.
7.9.3.7.2.1	NPAC SMS shall be responsible for ensuring that the system clock is accurate to within two minutes of GMT.
7.9.3.7.3.1	A sequence number equal to zero shall be required for association request and association response messages.
7.9.3.7.4.1	NPAC SMS shall provide a mechanism for authorized NPAC personnel to change a user name in the NPAC SMS.
8.1.1.1	NPAC SMS will process audit requests from service providers immediately.
8.2.1.1	NPAC SMS shall receive an audit request on a single telephone number from the Service Providers.
8.2.2.1.1	NPAC SMS shall receive an audit request for a range of telephone numbers from the Service Providers.
8.2.3.1	NPAC SMS shall allow Service Providers to specify the scope of an audit by specifying one or more of the following parameters: •	Specific Service provider network or ALL Service Providers networks, Full audit for all LNP attributes or a partial audit where the Service Provider can specify one or more of the following LNP attributes: LIDB data, CLASS data, LRN data, CNAM data, ISVM data, WSMSC data (only Service Provider Local SMSs that support this attribute will be audited on this attribute)
8.3.4.1	NPAC SMS shall allow NPAC personnel to issue an audit request on a single telephone number.
8.3.5.1.1	NPAC SMS shall allow NPAC personnel to issue an audit request for a range of telephone numbers.
8.3.6.1.1	NPAC SMS shall provide NPAC personnel and users of the SOA to NPAC SMS interface the capability to issue an audit request to be executed immediately.
8.3.9.1	NPAC SMS shall allow NPAC SMS Personnel to specify the scope of an audit by specifying one or more of the following parameters: •	Specific Service Provider network or ALL Service Providers networks. •	Full audit for all LNP attributes or a partial audit where the Service Provider can specify one or more of the following LNP attributes: LIDB data, CLASS data, LRN data, CNAM data, ISVM data, WSMSC data (only Service Provider Local SMSs that support this attribute will be audited on this attribute)
8.3.10.1	NPAC SMS shall allow NPAC personnel to obtain the final results of an audit request.
8.3.11.1	NPAC SMS shall indicate the progress of an audit as the percentage of records audited, when supplying the status of an audit request.
8.3.12.1	NPAC SMS shall allow NPAC personnel to cancel an audit request.
8.4.15.1.1	NPAC SMS shall allow NPAC Personnel to view ALL audit requests including requests issued by the Service Providers.
8.4.15.2.1	NPAC SMS shall allow the mechanized SOA interface to obtain all audit requests issued from that particular mechanized SOA interface.
8.4.15.3.1	NPAC SMS shall send audit results to the originating SOA.
8.4.16.1.1	NPAC SMS shall send the query resulting from the audit request to the local Service Providers' networks that are accepting Subscription Version data downloads for the given NPA-NXX via the NPAC SMS to Local SMS interface, as described in the NPAC SMS Interoperable Interface Specification.
8.4.17.1.1	NPAC SMS shall conduct a comparison of the Subscription Versions belonging to the Service Provider to its own Subscription Versions.
8.4.17.2.1	NPAC SMS shall, following the comparison of its own Subscription Versions to the Service Provider’s Subscription Versions, broadcast to the Service Provider an update for any TN that was NOT found in the Service Provider’s Subscription Version database, where the status of the Subscription Version contains a status of Active or Partial Failure.
8.4.17.3.1	NPAC SMS shall, following the comparison of its own Subscription Versions to the Service Provider’s Subscription Versions, modify any TN found to be in error.
8.4.17.4.1	NPAC SMS shall, following the comparison of its own Subscription Versions to the Service Provider’s Subscription Versions, delete any discrepant TNs from the Service Provider’s Subscription Version database.
8.4.19.1	NPAC SMS shall record all audit results in an audit log.
8.4.4.1	NPAC SMS shall, when processing the audit query results from a Local SMS, NOT perform comparisons or attempt to correct any Subscription Version within the requested range, which has a status of sending.
8.4.5.1	NPAC SMS shall consider a skipped Subscription Version as non-discrepant, and report no discrepancies found in the audit results.
8.5.20.1	NPAC SMS shall allow NPAC personnel and Service Provider personnel to retrieve an audit report for a specific audit request.
8.5.21.1.1	NPAC SMS shall be capable of generating an audit report for each audit request that has been requested.
8.5.21.2.1	NPAC SMS shall generate an audit report containing the following information: •	Audit request parameters which identified the scope of the audit •	Date and Time of Audit •	Progress indication •	Service Provider network which contains database conflict.
8.5.22.1	NPAC SMS shall allow NPAC and Service Provider personnel to generate and view an audit report on-line.
8.5.23.1.1	NPAC SMS shall allow NPAC personnel to view an audit report while the audit is in progress so the current audit results can be viewed on-line up to this point.
8.5.23.2.1	NPAC SMS shall ensure that Service Providers can only view the results of those audits which they have requested.
8.5.25.1	NPAC SMS shall allow NPAC personnel to specify the length of time audit results will be retained in the audit log.
8.7.1.1	NPAC SMS shall select a random sample of active Subscription Versions to query over the NPAC SMS to Local SMS interface to monitor NPAC SMS data integrity.
